id,domain,domain_description,sql_complexity,sql_complexity_description,sql_task_type,sql_task_type_description,sql_prompt,sql_context,sql,sql_explanation
5097,forestry,"Comprehensive data on sustainable forest management, timber production, wildlife habitat, and carbon sequestration in forestry.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights","What is the total volume of timber sold by each salesperson, sorted by salesperson?","CREATE TABLE salesperson (salesperson_id INT, name TEXT, region TEXT); INSERT INTO salesperson (salesperson_id, name, region) VALUES (1, 'John Doe', 'North'), (2, 'Jane Smith', 'South'); CREATE TABLE timber_sales (sales_id INT, salesperson_id INT, volume REAL, sale_date DATE); INSERT INTO timber_sales (sales_id, salesperson_id, volume, sale_date) VALUES (1, 1, 120, '2021-01-01'), (2, 1, 150, '2021-02-01'), (3, 2, 180, '2021-01-01');","SELECT salesperson_id, name, SUM(volume) as total_volume FROM timber_sales JOIN salesperson ON timber_sales.salesperson_id = salesperson.salesperson_id GROUP BY salesperson_id, name ORDER BY total_volume DESC;","Joins timber_sales and salesperson tables, groups sales by salesperson, calculates total volume sold by each salesperson, and orders the results by total volume in descending order."
5098,defense industry,"Defense contract data, military equipment maintenance, threat intelligence metrics, and veteran employment stats.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",List all the unique equipment types and their corresponding total maintenance frequency from the equipment_maintenance table.,"CREATE TABLE equipment_maintenance (equipment_type VARCHAR(255), maintenance_frequency INT);","SELECT equipment_type, SUM(maintenance_frequency) AS total_maintenance_frequency FROM equipment_maintenance GROUP BY equipment_type;","This query groups the equipment_maintenance table by equipment_type and calculates the sum of maintenance_frequency for each group, then returns the equipment_type and the corresponding total_maintenance_frequency."
5099,marine biology,"Comprehensive data on marine species, oceanography, conservation efforts, and climate change impacts in marine biology.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",How many marine species are found in the Southern Ocean?,"CREATE TABLE marine_species (name VARCHAR(50), common_name VARCHAR(50), location VARCHAR(50));",SELECT COUNT(*) FROM marine_species WHERE location = 'Southern Ocean';,This query counts the number of marine species found in the Southern Ocean by using the COUNT() function with a WHERE clause.
5100,financial services,"Detailed financial data including investment strategies, risk management, fraud detection, customer analytics, and regulatory compliance.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total trade value and average price for each trader and stock in the trade_history table?,"CREATE TABLE trade_history (id INT, trader_id INT, stock VARCHAR(255), price DECIMAL(5,2), quantity INT, trade_time TIMESTAMP);","SELECT trader_id, stock, SUM(price * quantity) as total_trade_value, AVG(price) as avg_price FROM trade_history GROUP BY trader_id, stock;",This query calculates the total trade value and average price for each trader and stock by grouping the trade_history table by the trader_id and stock columns and summing up the product of price and quantity for each trade and getting the average price for each group.
5101,energy,"Energy market data covering renewable energy sources, energy storage, carbon pricing, and energy efficiency.",window functions,"window functions (e.g., ROW_NUMBER, LEAD, LAG, RANk, NTILE, PERCENT_RANK, etc.) with partitioning and ordering",analytics and reporting,"generating reports, dashboards, and analytical insights",Find the energy efficiency upgrades with the highest cost and their types.,"CREATE TABLE upgrades (id INT, cost FLOAT, type TEXT); INSERT INTO upgrades (id, cost, type) VALUES (1, 500, 'Insulation'), (2, 1000, 'HVAC'), (3, 1500, 'Lighting');","SELECT type, cost FROM (SELECT type, cost, ROW_NUMBER() OVER (ORDER BY cost DESC) as rn FROM upgrades) sub WHERE rn = 1;",The SQL query uses the ROW_NUMBER function to rank the energy efficiency upgrades based on their cost in descending order. It then filters the upgrade with the highest cost by using the subquery and WHERE clause.
5102,defense operations,"Defense data on military innovation, peacekeeping operations, defense diplomacy, and humanitarian assistance.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total spending on humanitarian assistance by the European Union in the last 3 years?,"CREATE SCHEMA if not exists defense; CREATE TABLE if not exists eu_humanitarian_assistance (id INT PRIMARY KEY, year INT, spending INT); INSERT INTO defense.eu_humanitarian_assistance (id, year, spending) VALUES (1, 2019, 1500), (2, 2020, 1800), (3, 2021, 2100);",SELECT SUM(spending) FROM defense.eu_humanitarian_assistance WHERE year BETWEEN 2019 AND 2021;,This SQL query calculates the total spending on humanitarian assistance by the European Union in the last 3 years. It uses the SUM() aggregation function to find the total spending and WHERE clause to filter the result by year.
5103,aquaculture,"Aquatic farming data, fish stock management, ocean health metrics, and sustainable seafood trends.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average water temperature for each fish species in February?,"CREATE TABLE SpeciesWaterTemp (SpeciesID int, Date date, WaterTemp float); INSERT INTO SpeciesWaterTemp (SpeciesID, Date, WaterTemp) VALUES (1, '2022-02-01', 12.8), (1, '2022-02-02', 13.1), (2, '2022-02-01', 14.3), (2, '2022-02-02', 14.7);","SELECT SpeciesName, AVG(WaterTemp) as AvgTemp FROM SpeciesWaterTemp INNER JOIN FishSpecies ON SpeciesWaterTemp.SpeciesID = FishSpecies.SpeciesID WHERE MONTH(Date) = 2 GROUP BY SpeciesName;",This query calculates the average water temperature for each fish species in February. It filters the records where the month of the date is February (2) and performs an inner join between the SpeciesWaterTemp and FishSpecies tables based on the species ID. It then groups the results by species name and calculates the average water temperature for each group.
5104,nonprofit operations,"Donation records, program outcomes, volunteer engagement metrics, budget reports, and community impact assessments.",basic SQL,basic SQL with a simple select statement,data manipulation,"inserting, updating, or deleting records",Delete a program's outcome data,"CREATE TABLE Program_Outcomes (id INT, program_id INT, outcome_type VARCHAR, value INT, outcome_date DATE); INSERT INTO Program_Outcomes (id, program_id, outcome_type, value, outcome_date) VALUES (1, 1001, 'participants', 50, '2021-01-01'), (2, 1002, 'hours_donated', 1000, '2021-01-01');",DELETE FROM Program_Outcomes WHERE program_id = 1002;,This query removes the record with a program_id of 1002 from the Program_Outcomes table.
5105,public transportation,"Extensive data on route planning, fare collection, vehicle maintenance, and accessibility in public transportation.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",Find the total fare collected from passengers on 'Green Line' buses,"CREATE TABLE bus_routes (route_name VARCHAR(50), fare FLOAT); INSERT INTO bus_routes (route_name, fare) VALUES ('Green Line', 1.50), ('Red Line', 2.00), ('Blue Line', 1.75);",SELECT SUM(fare) FROM bus_routes WHERE route_name = 'Green Line';,This SQL query calculates the total fare collected from passengers on the 'Green Line' by summing the 'fare' column values where the 'route_name' is 'Green Line'.
5106,real estate,"Real estate data on inclusive housing policies, sustainable urbanism, property co-ownership, and housing affordability.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average property size in inclusive housing areas?,"CREATE TABLE Inclusive_Housing (Property_ID INT, Inclusive VARCHAR(10), Property_Size INT); INSERT INTO Inclusive_Housing (Property_ID, Inclusive, Property_Size) VALUES (1, 'Yes', 900), (2, 'No', 1100), (3, 'Yes', 800), (4, 'No', 1200);",SELECT AVG(Property_Size) FROM Inclusive_Housing WHERE Inclusive = 'Yes';,"The SQL query calculates the average property size in inclusive housing areas by using the AVG function on the Property_Size column, and filtering the data for rows where the Inclusive column is 'Yes'."
